model,model_display,train_set,synthetic_ratio,test_set,label_scope,precision_micro,recall_micro,f1_micro,tp,fp,fn,job_id,log_path,result_path,model_dirs
klue_roberta_large,KLUE RoBERTa-large,mix_syn_all,all,synthetic,common18,0.9925,0.9579,0.9749,6231,47,274,eval__klue_roberta_large__mix_syn_all__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn_all__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn_all_to_synthetic_common18_20260717_111059.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn_all/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn_all,all,synthetic,full19,0.9925,0.9579,0.9749,6231,47,274,eval__klue_roberta_large__mix_syn_all__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn_all__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn_all_to_synthetic_full19_20260717_111025.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn_all/seed42
klue_roberta_large,KLUE RoBERTa-large,synthetic_only,only,combined,common18,0.9505,0.8929,0.9208,7022,366,842,eval__klue_roberta_large__synthetic_only__combined__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__synthetic_only__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_synthetic_only_to_combined_common18_20260717_074414.md,/data/team/hwan/real/models/klue_roberta_large/synthetic_only/seed42
klue_roberta_large,KLUE RoBERTa-large,synthetic_only,only,combined,full19,0.9505,0.8931,0.9209,7031,366,842,eval__klue_roberta_large__synthetic_only__combined__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__synthetic_only__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_synthetic_only_to_combined_full19_20260717_074332.md,/data/team/hwan/real/models/klue_roberta_large/synthetic_only/seed42
klue_roberta_large,KLUE RoBERTa-large,synthetic_only,only,kdpii,common18,0.7071,0.5791,0.6367,787,326,572,eval__klue_roberta_large__synthetic_only__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__synthetic_only__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_synthetic_only_to_kdpii_common18_20260717_074440.md,/data/team/hwan/real/models/klue_roberta_large/synthetic_only/seed42
klue_roberta_large,KLUE RoBERTa-large,synthetic_only,only,kdpii,full19,0.7094,0.5819,0.6394,796,326,572,eval__klue_roberta_large__synthetic_only__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__synthetic_only__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_synthetic_only_to_kdpii_full19_20260717_074427.md,/data/team/hwan/real/models/klue_roberta_large/synthetic_only/seed42
klue_roberta_large,KLUE RoBERTa-large,synthetic_only,only,synthetic,common18,0.9936,0.9585,0.9757,6235,40,270,eval__klue_roberta_large__synthetic_only__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__synthetic_only__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_synthetic_only_to_synthetic_common18_20260717_074249.md,/data/team/hwan/real/models/klue_roberta_large/synthetic_only/seed42
klue_roberta_large,KLUE RoBERTa-large,synthetic_only,only,synthetic,full19,0.9936,0.9585,0.9757,6235,40,270,eval__klue_roberta_large__synthetic_only__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__synthetic_only__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_synthetic_only_to_synthetic_full19_20260717_074215.md,/data/team/hwan/real/models/klue_roberta_large/synthetic_only/seed42
microsoft_presidio_spacy_regex,Microsoft Presidio+spaCy+regex,none,N/A,combined,common18,0.5955,0.7091,0.6473,5576,3788,2288,eval__microsoft_presidio_spacy_regex__none__combined__common18,/data/team/hwan/real/logs/jobs/eval__microsoft_presidio_spacy_regex__none__combined__common18.log,/data/team/hwan/results/presidio_ko_spacy_regex/eval_presidio_ko_spacy_regex_test_real_microsoft_none_to_combined_common18_20260717_164604.json,
microsoft_presidio_spacy_regex,Microsoft Presidio+spaCy+regex,none,N/A,combined,full19,0.5959,0.7094,0.6477,5585,3788,2288,eval__microsoft_presidio_spacy_regex__none__combined__full19,/data/team/hwan/real/logs/jobs/eval__microsoft_presidio_spacy_regex__none__combined__full19.log,/data/team/hwan/results/presidio_ko_spacy_regex/eval_presidio_ko_spacy_regex_test_real_microsoft_none_to_combined_full19_20260717_164454.json,
microsoft_presidio_spacy_regex,Microsoft Presidio+spaCy+regex,none,N/A,kdpii,common18,0.4715,0.5651,0.5141,768,861,591,eval__microsoft_presidio_spacy_regex__none__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__microsoft_presidio_spacy_regex__none__kdpii__common18.log,/data/team/hwan/results/presidio_ko_spacy_regex/eval_presidio_ko_spacy_regex_test_real_microsoft_none_to_kdpii_common18_20260717_164702.json,
microsoft_presidio_spacy_regex,Microsoft Presidio+spaCy+regex,none,N/A,kdpii,full19,0.4744,0.568,0.517,777,861,591,eval__microsoft_presidio_spacy_regex__none__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__microsoft_presidio_spacy_regex__none__kdpii__full19.log,/data/team/hwan/results/presidio_ko_spacy_regex/eval_presidio_ko_spacy_regex_test_real_microsoft_none_to_kdpii_full19_20260717_164633.json,
microsoft_presidio_spacy_regex,Microsoft Presidio+spaCy+regex,none,N/A,synthetic,common18,0.6216,0.7391,0.6753,4808,2927,1697,eval__microsoft_presidio_spacy_regex__none__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__microsoft_presidio_spacy_regex__none__synthetic__common18.log,/data/team/hwan/results/presidio_ko_spacy_regex/eval_presidio_ko_spacy_regex_test_real_microsoft_none_to_synthetic_common18_20260717_164344.json,
microsoft_presidio_spacy_regex,Microsoft Presidio+spaCy+regex,none,N/A,synthetic,full19,0.6216,0.7391,0.6753,4808,2927,1697,eval__microsoft_presidio_spacy_regex__none__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__microsoft_presidio_spacy_regex__none__synthetic__full19.log,/data/team/hwan/results/presidio_ko_spacy_regex/eval_presidio_ko_spacy_regex_test_real_microsoft_none_to_synthetic_full19_20260717_164256.json,
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,kdpii_full,0,combined,common18,0.8599,0.316,0.4622,2485,405,5379,eval__openai_privacy_filter_lora__kdpii_full__combined__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__kdpii_full__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_kdpii_full_to_combined_common18_20260717_164035.md,/data/team/hwan/models/privacy_filter_korean_Lora/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,kdpii_full,0,combined,full19,0.8579,0.3168,0.4627,2494,413,5379,eval__openai_privacy_filter_lora__kdpii_full__combined__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__kdpii_full__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_kdpii_full_to_combined_full19_20260717_163850.md,/data/team/hwan/models/privacy_filter_korean_Lora/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,kdpii_full,0,kdpii,common18,0.9114,0.4165,0.5717,566,55,793,eval__openai_privacy_filter_lora__kdpii_full__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__kdpii_full__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_kdpii_full_to_kdpii_common18_20260717_164210.md,/data/team/hwan/models/privacy_filter_korean_Lora/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,kdpii_full,0,kdpii,full19,0.9127,0.4203,0.5756,575,55,793,eval__openai_privacy_filter_lora__kdpii_full__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__kdpii_full__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_kdpii_full_to_kdpii_full19_20260717_164122.md,/data/team/hwan/models/privacy_filter_korean_Lora/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,kdpii_full,0,synthetic,common18,0.8433,0.2945,0.4366,1916,356,4589,eval__openai_privacy_filter_lora__kdpii_full__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__kdpii_full__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_kdpii_full_to_synthetic_common18_20260717_163705.md,/data/team/hwan/models/privacy_filter_korean_Lora/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,kdpii_full,0,synthetic,full19,0.8404,0.2945,0.4362,1916,364,4589,eval__openai_privacy_filter_lora__kdpii_full__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__kdpii_full__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_kdpii_full_to_synthetic_full19_20260717_163559.md,/data/team/hwan/models/privacy_filter_korean_Lora/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn025,0.25,combined,common18,0.9636,0.4107,0.576,3230,122,4634,eval__openai_privacy_filter_lora__mix_syn025__combined__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn025__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn025_to_combined_common18_20260718_005039.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn025/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn025,0.25,combined,full19,0.9637,0.4114,0.5766,3239,122,4634,eval__openai_privacy_filter_lora__mix_syn025__combined__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn025__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn025_to_combined_full19_20260718_004856.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn025/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn025,0.25,kdpii,common18,0.9059,0.418,0.572,568,59,791,eval__openai_privacy_filter_lora__mix_syn025__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn025__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn025_to_kdpii_common18_20260718_005213.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn025/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn025,0.25,kdpii,full19,0.9072,0.4218,0.5758,577,59,791,eval__openai_privacy_filter_lora__mix_syn025__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn025__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn025_to_kdpii_full19_20260718_005127.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn025/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn025,0.25,synthetic,common18,0.978,0.4097,0.5775,2665,60,3840,eval__openai_privacy_filter_lora__mix_syn025__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn025__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn025_to_synthetic_common18_20260718_004713.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn025/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn025,0.25,synthetic,full19,0.978,0.4097,0.5775,2665,60,3840,eval__openai_privacy_filter_lora__mix_syn025__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn025__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn025_to_synthetic_full19_20260718_004609.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn025/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn050,0.5,combined,common18,0.9681,0.4126,0.5786,3245,107,4619,eval__openai_privacy_filter_lora__mix_syn050__combined__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn050__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn050_to_combined_common18_20260718_051251.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn050/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn050,0.5,combined,full19,0.9679,0.4133,0.5793,3254,108,4619,eval__openai_privacy_filter_lora__mix_syn050__combined__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn050__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn050_to_combined_full19_20260718_051105.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn050/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn050,0.5,kdpii,common18,0.918,0.4202,0.5765,571,51,788,eval__openai_privacy_filter_lora__mix_syn050__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn050__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn050_to_kdpii_common18_20260718_051427.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn050/seed42/inference
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn050,0.5,kdpii,full19,0.9192,0.424,0.5803,580,51,788,eval__openai_privacy_filter_lora__mix_syn050__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__openai_privacy_filter_lora__mix_syn050__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_openai_privacy_filter_lora_mix_syn050_to_kdpii_full19_20260718_051339.md,/data/team/hwan/real/models/openai_privacy_filter_lora/mix_syn050/seed42/inference
